trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.9, 'e': 0.46533393097431341}",25,0,16.204319704117353,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.9, 'e': 0.46116471520865848}",35,12,-46.17288868382878,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.45703285403707794}",25,16,-26.990902283065637,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.9, 'e': 0.45293801277655776}",30,0,-165.2125754902697,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
89,False,"{'a': 0.9, 'e': 0.44887985974271699}",20,8,-56.23430165945704,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
90,False,"{'a': 0.9, 'e': 0.44485806622294116}",20,13,1.0582821759659125,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.9, 'e': 0.44087230644975617}",25,15,-16.117541468751,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.4369222575744412}",30,15,11.304161027559545,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.43300759964087765}",25,18,0.5036927292823214,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.42912801555963254}",25,12,-12.23809179555306,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.42528319108227414}",30,0,-4.611490144479463,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.9, 'e': 0.42147281477591764}",20,0,-32.972516617032326,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
97,False,"{'a': 0.9, 'e': 0.41769657799799886}",20,8,-36.11226477245256,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.9, 'e': 0.41395417487127412}",25,0,-98.69996771722259,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
99,False,"{'a': 0.9, 'e': 0.41024530225904404}",30,0,-8.35141019240131,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.9, 'e': 0.40656965974059917}",20,0,-27.516135005181056,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.9, 'e': 0.4029269495868858}",20,0,21.266997834202105,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.9, 'e': 0.39931687673638988}",20,3,-20.46366520841878,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 0.39573914877123673}",30,0,-54.315725461109196,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
104,False,"{'a': 0.9, 'e': 0.39219347589350501}",25,7,-3.637831145445548,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.9, 'e': 0.38867957090175304}",25,0,14.251527552980168,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.9, 'e': 0.38519714916775522}",20,14,8.286425393074003,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.9, 'e': 0.38174592861344708}",25,12,11.412997808837543,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.37832562968807681}",30,18,-17.590331314977682,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.9, 'e': 0.37493597534556139}",20,8,7.046076787754319,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.37157669102204571}",20,15,8.576709783720265,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.36824750461366296}",20,0,16.20836695332965,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.9, 'e': 0.36494814645449375}",25,3,-54.974093943236774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
113,False,"{'a': 0.9, 'e': 0.36167834929472331}",25,3,4.874832114785817,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.35843784827899389}",20,9,-7.22037650693172,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 0.35522638092495151}",30,0,-48.21743491814879,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
